Jerarquía;Descripción;esHoja;Puntuación
1.2.11.683.753.783;Documento > Párrafos > Párrafo > Range > Font > Subscript;true;1
1.2.11.683.753.784;Documento > Párrafos > Párrafo > Range > Font > Superscript;true;1
1.2.11.683.753.785;Documento > Párrafos > Párrafo > Range > Font > UnderlineColor;true;1
1.2.11.683.754;Documento > Párrafos > Párrafo > Range > HighlightColorIndex;true;1
1.2.11.683.755;Documento > Párrafos > Párrafo > Range > InlineShapes;true;0
1.2.11.683.756;Documento > Párrafos > Párrafo > Range > Italic;true;1
1.2.11.683.757;Documento > Párrafos > Párrafo > Range > Text;true;1
1.2.11.683.758;Documento > Párrafos > Párrafo > Range > Underline;true;1
1.2.11.684;Documento > Párrafos > Párrafo > División automática de palabras;true;1
1.2.11.685;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo;false;0
1.2.11.685.789;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista;false;0
1.2.11.685.789.790;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista > Nivel de lista;true;1
1.2.11.685.789.791;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista > Expr. Lista;true;1
1.2.11.685.789.792;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista > Tipo de lista;true;1
1.2.11.685.789.793;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo > Formato de lista > Núm. Lista;true;1
1.2.12;Documento > Párrafos > Párrafo;false;0
1.2.12.794;Documento > Párrafos > Párrafo > Alineación;true;1
1.2.12.795;Documento > Párrafos > Párrafo > Letra capital;false;0
1.2.12.795.812;Documento > Párrafos > Párrafo > Letra capital > Dist. desde  texto;true;1
1.2.12.795.813;Documento > Párrafos > Párrafo > Letra capital > Fuente;true;1
1.2.12.795.814;Documento > Párrafos > Párrafo > Letra capital > Lín. Ocupadas;true;1
1.2.12.795.815;Documento > Párrafos > Párrafo > Letra capital > Posición;true;1
1.2.12.796;Documento > Párrafos > Párrafo > Sang. 1ª línea;true;1
1.2.12.797;Documento > Párrafos > Párrafo > KeepTogether;true;1
1.2.12.798;Documento > Párrafos > Párrafo > KeepWithNext;true;1
1.2.12.799;Documento > Párrafos > Párrafo > Sang. izq.;true;1
1.2.12.800;Documento > Párrafos > Párrafo > Interlineado;true;1
1.2.12.801;Documento > Párrafos > Párrafo > Interlineado;true;1
1.2.12.802;Documento > Párrafos > Párrafo > SpaceAfter;true;1
1.2.12.803;Documento > Párrafos > Párrafo > SpaceBefore;true;1
1.2.12.804;Documento > Párrafos > Párrafo > OutlineLevel;true;1
1.2.12.805;Documento > Párrafos > Párrafo > PageBreakBefore;true;1
1.2.12.806;Documento > Párrafos > Párrafo > Sang. dcha.;true;1
1.2.12.807;Documento > Párrafos > Párrafo > TabStops;false;0
1.2.12.807.816;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.12.807.816.832;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.12.807.816.833;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.12.807.816.834;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.12.807.817;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.12.807.817.835;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.12.807.817.836;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
1.2.12.807.817.837;Documento > Párrafos > Párrafo > TabStops > Tabulación > Posición;true;1
1.2.12.807.818;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.12.807.818.838;Documento > Párrafos > Párrafo > TabStops > Tabulación > Alineación;true;1
1.2.12.807.818.839;Documento > Párrafos > Párrafo > TabStops > Tabulación > Relleno;true;1
